key,question,options
SATLIFEA_W32,Please tell us whether you are satisfied or dissatisfied with your family life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
SATLIFEB_W32,Please tell us whether you are satisfied or dissatisfied with your social life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
SATLIFEC_W32,Please tell us whether you are satisfied or dissatisfied with your personal financial situation.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
SATLIFED_W32,Please tell us whether you are satisfied or dissatisfied with your current job or career.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
SATLIFEE_W32,Please tell us whether you are satisfied or dissatisfied with the quality of life in your local community.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']"
SOCTRUST_W32,"Generally speaking, would you say that","['Most people can be trusted', ""You can't be too careful in dealing with people"", 'Refused']"
SOCTRUST2_W32,"Generally speaking, would you say that","['Most people can be trusted', 'Most people cannot be trusted', 'Refused']"
SOCTRUST4_W32,"Generally speaking, would you say you can trust most people","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
SOCTRUST5_W32,"Generally speaking, would you say that","['Most people can be trusted to do the right thing', 'Most people cannot be trusted to do the right thing', 'Refused']"
COMMYRS_W32,About how many years have you lived in your local community?,"['Less than 1 year', '1-5 years', '6-10 years', '11-20 years', 'More than 20 years', 'Refused']"
COMATTACH_W32,"In general, how attached do you feel to your local community?","['Very attached', 'Somewhat attached', 'Not too attached', 'Not at all attached', 'Refused']"
FEELA_W32,"How often, if ever, do you feel lonely or isolated from those around you","['All or most of the time', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
FEELB_W32,"How often, if ever, do you feel you have people you can turn to for support","['All or most of the time', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
FEELC_W32,"How often, if ever, do you feel optimistic about your life","['All or most of the time', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
FEELD_W32,"How often, if ever, do you feel you are too busy to enjoy life","['All or most of the time', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
INC_W32,Do you currently have enough income to lead the kind of life you want?,"['Yes', 'No', 'Refused']"
INCFUTURE_W32,Do you think you will have enough income in the future to lead the kind of life you want?,"['Yes', 'No', 'Refused']"
COMMIMPA_W32,"How important is it to you, personally, to live in a community with access to art, music and theater","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
COMMIMPB_W32,"How important is it to you, personally, to live in a community that is a good place to raise children","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
COMMIMPC_W32,"How important is it to you, personally, to live in a community that is racially and ethnically diverse","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
COMMIMPD_W32,"How important is it to you, personally, to live in a community where most people share your political views","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
COMMIMPE_W32,"How important is it to you, personally, to live in a community with access to recreational and outdoor activities","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
COMMIMPF_W32,"How important is it to you, personally, to live in a community where you have family nearby","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
COMMIMPG_W32,"How important is it to you, personally, to live in a community with a strong sense of community","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
COMMIMPH_W32,"How important is it to you, personally, to live in a community where most people share your religious views","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
FAMNEAR_W32,"Thinking about members of your extended family who don't live with you, about how many of them live within an hour's drive of where you live now?","['All or most', 'Some', 'Only a few', 'None', ""I don't have extended family"", 'Refused']"
SUCCESSIMPA_W32,"How important, if at all, do you think a college education is in helping a young person succeed in the world today?","['Essential', 'Important but not essential', 'Not important', 'Refused']"
SUCCESSIMPB_W32,"How important, if at all, do you think knowing how to get along with people is in helping a young person succeed in the world today?","['Essential', 'Important but not essential', 'Not important', 'Refused']"
SUCCESSIMPC_W32,"How important, if at all, do you think a good work ethic is in helping a young person succeed in the world today?","['Essential', 'Important but not essential', 'Not important', 'Refused']"
SUCCESSIMPD_W32,"How important, if at all, do you think work skills learned on the job is in helping a young person succeed in the world today?","['Essential', 'Important but not essential', 'Not important', 'Refused']"
FEDSHAREA_W32,"Thinking about how the federal government spends money, do you think urban areas get","['More than their fair share', 'Less than their fair share', 'About the right amount', 'Refused']"
FEDSHAREB_W32,"Thinking about how the federal government spends money, do you think suburban areas get","['More than their fair share', 'Less than their fair share', 'About the right amount', 'Refused']"
