key,question,options
SOCMEDIAUSEa_W49,Do you use facebook?,"['Yes, use this', 'No, do not use this', 'Refused']"
SOCMEDIAUSEb_W49,Do you use instagram?,"['Yes, use this', 'No, do not use this', 'Refused']"
SOCMEDIAUSEc_W49,Do you use twitter?,"['Yes, use this', 'No, do not use this', 'Refused']"
SOCMEDIAUSEd_W49,Do you use any other social media sites?,"['Yes, use this', 'No, do not use this', 'Refused']"
ELECTFTGSNSINT_W49,"Thinking about the posts and discussions you see on social media about politics and the 2020 election, which comes closer to your view?","['I like seeing lots of political posts and discussions on social media', 'I am worn out by how many political posts and discussions I see on social media', ""I don't feel strongly about these posts one way or the other"", 'Refused']"
TALKDISASNSINT_W49,"In your experience, when you talk about politics with people on social media who you disagree with, do you generally find it to be","['Interesting and informative', 'Stressful and frustrating', 'Refused']"
TALKCMNSNSINT_W49,"In your experience, when you talk about politics with people on social media who you disagree with, do you generally find that","['You have more in common politically than you thought', 'You have less in common politically than you thought', 'Refused']"
SECUR1_W49,"On a different topic, compared with five years ago, do you feel your personal information is","['More secure', 'Less secure', 'About the same', 'Refused']"
PRIVACYNEWS1_W49,"How closely, if at all, do you follow news about privacy issues?","['Very closely', 'Somewhat closely', 'Not too closely', 'Not at all closely', 'Refused']"
HOMEASSIST1_W49,"Do you have a voice-controlled smart speaker in your home, such as an Amazon Echo or a Google Home?","['Yes', 'No', 'Refused']"
HOMEASSIST2_W49,"How concerned are you, if at all, about how much data your smart speaker collects about you?","['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not concerned at all', 'Refused']"
HOMEASSIST3_W49,"Do you ever say ""please"" when speaking to your smart speaker?","['Yes, frequently', 'Yes, on occasion', 'No', 'Refused']"
HOMEASSIST4_W49,How important is it that your smart speaker takes your personal interests and preferences into account when responding to your questions or commands?,"['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'Refused']"
HOMEASSIST5a_W49,Would you like your smart speaker to do a better job of taking your interests and preferences into account in the future?,"['Yes', 'No', 'Refused']"
HOMEASSIST5b_W49,"Would you like your smart speaker to do a better job of taking your interests and preferences into account in the future, even if that meant it would need to collect more personal information about you?","['Yes', 'No', 'Refused']"
HOMEIOT_W49,"Do you have other connected items in your home that you can control from your phone, such as smart lighting or a connected thermostat or alarm system?","['Yes', 'No', 'Refused']"
FITTRACK_W49,Do you regularly wear a smart watch or a wearable fitness tracker?,"['Yes, wear this', 'No, do not wear this', 'Refused']"
LOYALTY_W49,Do you belong to any loyalty programs of a grocery store or a supermarket that you frequent?,"['Yes, belong to this', 'No, do not belong to this', 'Refused']"
DNATEST_W49,Have you ever used a mail-in DNA testing service from a company such as AncestryDNA or 23andMe?,"['Yes, have used this', 'No, have not used this', 'Refused']"
TRACKCO1a_W49,"As far as you know, how much of what you do online or on your cellphone is being tracked by advertisers, technology firms or other companies?","['All or almost all of it', 'Most of it', 'Some of it', 'Very little of it', 'None of it', 'Refused']"
TRACKCO1b_W49,"As far as you know, how much of what you do offline like where you are or who you are talking to is being tracked by advertisers, technology firms or other companies?","['All or almost all of it', 'Most of it', 'Some of it', 'Very little of it', 'None of it', 'Refused']"
CONCERNCO_W49,"How concerned are you, if at all, about how companies are using the data they collect about you?","['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned', 'Refused']"
BENEFITCO_W49,How much do you feel you personally benefit from the data that companies collect about you?,"['A great deal', 'Some', 'Very little', 'None', 'Refused']"
CONTROLCO_W49,How much control do you think you have over the data that companies collect about you?,"['A great deal of control', 'Some control', 'Very little control', 'No control', 'Refused']"
UNDERSTANDCO_W49,How much do you feel you understand what companies are doing with the data they collect about you?,"['A great deal', 'Some', 'Very little', 'Nothing', 'Refused']"
POSNEGCO_W49,"On balance, which would you say most accurately describes how you feel?","['The benefits I get from companies collecting data about me outweigh the potential risks', 'The potential risks of companies collecting data about me outweigh the benefits I get', 'Refused']"
ANONYMOUS1CO_W49,Do you think it is possible to go about daily life today without having companies collect data about you?,"['Yes, it is possible', 'No, it is not possible', 'Refused']"
TRACKGOV1a_W49,"As far as you know, how much of what you do online or on your cellphone is being tracked by the government?","['All or almost all of it', 'Most of it', 'Some of it', 'Very little of it', 'None of it', 'Refused']"
TRACKGOV1b_W49,"As far as you know, how much of what you do offline like where you are or who you are talking to is being tracked by the government?","['All or almost all of it', 'Most of it', 'Some of it', 'Very little of it', 'None of it', 'Refused']"
CONCERNGOV_W49,"How concerned are you, if at all, about how the government is using the data it collects about you?","['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned', 'Refused']"
BENEFITGOV_W49,How much do you feel you personally benefit from the data the government collects about you?,"['A great deal', 'Some', 'Very little', 'None', 'Refused']"
CONTROLGOV_W49,How much control do you think you have over the data the government collects about you?,"['A great deal of control', 'Some control', 'Very little control', 'No control', 'Refused']"
UNDERSTANDGOV_W49,How much do you feel you understand what the government is doing with the data it collects about you?,"['A great deal', 'Some', 'Very little', 'Nothing', 'Refused']"
POSNEGGOV_W49,"On balance, which would you say most accurately describes how you feel?","['The benefits the government can provide by collecting data about me and others outweigh the potential risks', 'The potential risks of the government collecting data about me and others outweigh the benefits it can provide', 'Refused']"
ANONYMOUS1GOV_W49,Do you think it is possible to go about daily life today without having the government collect data about you?,"['Yes, it is possible', 'No, it is not possible', 'Refused']"
CONCERNGRPa_W49,"How concerned are you, if at all, about how much personal information law enforcement agencies might know about you?","['Concerned a lot', 'Concerned a little', 'Not concerned', 'Refused']"
CONCERNGRPb_W49,"How concerned are you, if at all, about how much personal information advertisers might know about you?","['Concerned a lot', 'Concerned a little', 'Not concerned', 'Refused']"
CONCERNGRPc_W49,"How concerned are you, if at all, about how much personal information your employer might know about you?","['Concerned a lot', 'Concerned a little', 'Not concerned', 'Refused']"
CONCERNGRPd_W49,"How concerned are you, if at all, about how much personal information the companies you buy things from might know about you?","['Concerned a lot', 'Concerned a little', 'Not concerned', 'Refused']"
CONCERNGRPe_W49,"How concerned are you, if at all, about how much personal information your friends and family might know about you?","['Concerned a lot', 'Concerned a little', 'Not concerned', 'Refused']"
CONCERNGRPf_W49,"How concerned are you, if at all, about how much personal information the social media sites you use might know about you?","['Concerned a lot', 'Concerned a little', 'Not concerned', 'Refused']"
CONTROLGRPa_W49,"How much control, if any, do you think you have over who can access your posts and activities on social media?","['A lot of control', 'A little control', 'No control', 'Refused']"
CONTROLGRPb_W49,"How much control, if any, do you think you have over who can access the search terms you use online?","['A lot of control', 'A little control', 'No control', 'Offline: does not have internet', 'Refused']"
