key,question,options
SCI1_W34,"Overall, do you think science has made life easier or more difficult for most people?","['Easier', 'More difficult', 'Refused']"
SCI2A_W34,Do you think science has had a mostly positive or mostly negative effect on the quality of food in the U.S.?,"['Mostly positive', 'Mostly negative', 'Refused']"
SCI2B_W34,Do you think science has had a mostly positive or mostly negative effect on the quality of Health care in the U.S.?,"['Mostly positive', 'Mostly negative', 'Refused']"
SCI2C_W34,Do you think science has had a mostly positive or mostly negative effect on the quality of the environment in the U.S.?,"['Mostly positive', 'Mostly negative', 'Refused']"
SCI3A_W34,"In your opinion, do you think government investments in basic scientific research usually pay off in the long run, or are they not worth it?","['Government investments usually pay off in the long run', ""Government investments aren't worth it"", 'Refused']"
SCI3B_W34,"In your opinion, do you think government investments in engineering and technology usually pay off in the long run, or are they not worth it?","['Government investments usually pay off in the long run', ""Government investments aren't worth it"", 'Refused']"
SCI3C_W34,"In your opinion, do you think government investments in medical research usually pay off in the long run, or are they not worth it?","['Government investments usually pay off in the long run', ""Government investments aren't worth it"", 'Refused']"
SCI4_W34,"Which statement comes closer to your view, even if neither is exactly right?","['Government investment in research is essential for scientific progress', 'Private investment will ensure that enough scientific progress is made, even without government investment', 'Refused']"
SCI5_W34,"All in all, do you favor or oppose the use of animals in scientific research?","['Favor', 'Oppose', 'Refused']"
EAT1_W34,How often do you choose foods to eat because they are healthy and nutritious?,"['All of the time', 'More than half of the time', 'About half of the time', 'Less than half of the time', 'Never', 'Refused']"
EAT2_W34,How often do you choose foods to eat because they are easy and most convenient?,"['All of the time', 'More than half of the time', 'About half of the time', 'Less than half of the time', 'Never', 'Refused']"
EAT3E_W34,"Which of the following, if any, do you restrict or limit eating on a regular basis? Cholesterol","['Not selected', 'Cholesterol']"
EAT3F_W34,"Which of the following, if any, do you restrict or limit eating on a regular basis? Sugar","['Not selected', 'Sugar']"
EAT3G_W34,"Which of the following, if any, do you restrict or limit eating on a regular basis? Artificial preservatives","['Not selected', 'Artificial preservatives']"
EAT3H_W34,"Which of the following, if any, do you restrict or limit eating on a regular basis? Artificial colors","['Not selected', 'Artificial colors']"
EAT3I_W34,"Which of the following, if any, do you restrict or limit eating on a regular basis? Artificial sweeteners","['Not selected', 'Artificial sweeteners']"
EAT3J_W34,"Which of the following, if any, do you restrict or limit eating on a regular basis? Gluten","['Not selected', 'Gluten']"
EAT3K_W34,"Which of the following, if any, do you restrict or limit eating on a regular basis? None of these","['Not selected', 'None of these']"
FUD22_W34,How much of the food you eat is organic?,"['Most of it', 'Some of it', 'Not too much', 'None at all', 'Refused']"
FUD24_W34,Do you think organic fruits and vegetables are generally,"[""Better for one's health than conventionally grown foods"", ""Worse for one's health than conventionally grown foods"", ""Neither better nor worse for one's health than conventionally grown foods"", 'Refused']"
EAT5A_W34,"How much health risk, if any, does eating fruits and vegetables grown with pesticides have for the average person over the course of their lifetime?","['A great deal of health risk', 'Some health risk', 'Not too much health risk', 'No health risk at all', 'Refused']"
EAT5B_W34,"How much health risk, if any, does eating meat from animals that have been given antibiotics or hormones have for the average person over the course of their lifetime?","['A great deal of health risk', 'Some health risk', 'Not too much health risk', 'No health risk at all', 'Refused']"
EAT5C_W34,"How much health risk, if any, does eating food and drinks with artificial coloring have for the average person over the course of their lifetime?","['A great deal of health risk', 'Some health risk', 'Not too much health risk', 'No health risk at all', 'Refused']"
EAT5D_W34,"How much health risk, if any, does eating food and drinks with artificial preservatives have for the average person over the course of their lifetime?","['A great deal of health risk', 'Some health risk', 'Not too much health risk', 'No health risk at all', 'Refused']"
EAT6_W34,"Which of these statements comes closer to your view, even if neither is exactly right?","['The average person is exposed to additives in the food they eat every day, which pose a serious risk to their health', 'The average person is exposed to additives in the food they eat every day but they eat such a small amount that this doe', 'Refused']"
FUD32_W34,"Genetically modified foods come from a technique that adds genes from other organisms to change that food's genetic characteristics. How much, if anything, have you heard or read about foods with genetically modified ingredients?","['A lot', 'A little', 'Nothing at all', 'Refused']"
FUD33A_W34,Do you think foods with genetically modified ingredients are generally,"['Better for your health than foods with no genetically modified ingredients', 'Worse for your health than foods with no genetically modified ingredients', 'Neither better nor worse for your health than foods with no genetically modified ingredients', 'Not sure', 'Refused']"
FUD33B_W34,"Even if you are not sure, which is closer to your views? Do you think foods with genetically modified ingredients are generally","['Better for your health than foods with no genetically modified ingredients', 'Worse for your health than foods with no genetically modified ingredients', 'Neither better nor worse for your health than foods with no genetically modified ingredients', 'Refused']"
FUD35_W34,"How much do you, personally, care about the issue of genetically modified foods?","['A great deal', 'Some', 'Not too much', 'Not at all', 'Refused']"
FUD37A_W34,How likely is it that genetically modified foods will lead to more affordably-priced food,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']"
FUD37B_W34,How likely is it that genetically modified foods will lead to health problems for the population as a whole,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']"
FUD37C_W34,How likely is it that genetically modified foods will create problems for the environment,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']"
FUD37D_W34,How likely is it that genetically modified foods will increase the global food supply,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']"
MED1_W34,"Thinking now about medicine which of these statements comes closer to your point of view, even if neither is exactly right?","['Medical treatments these days are worth the costs because they allow people to live longer and better quality lives', 'Medical treatments these days often create as many problems as they solve', 'Refused']"
MED2A_W34,"Thinking about medical treatments these days, how much of a problem, if at all, are the following? Healthcare providers are too quick to order tests and procedures that may not be necessary","['A big problem', 'A small problem', 'Not a problem', 'Refused']"
MED2B_W34,"Thinking about medical treatments these days, how much of a problem, if at all, are the following? People rely too much on prescription medicines that may not be necessary","['A big problem', 'A small problem', 'Not a problem', 'Refused']"
MED2C_W34,"Thinking about medical treatments these days, how much of a problem, if at all, are the following? New treatments are made available before we fully understand how they affect people's health","['A big problem', 'A small problem', 'Not a problem', 'Refused']"
MED2D_W34,"Thinking about medical treatments these days, how much of a problem, if at all, are the following? The cost of treatments makes quality medical care unaffordable","['A big problem', 'A small problem', 'Not a problem', 'Refused']"
MED2E_W34,"Thinking about medical treatments these days, how much of a problem, if at all, are the following? New treatments are so complex that patients cannot make informed decisions","['A big problem', 'A small problem', 'Not a problem', 'Refused']"
MED2F_W34,"Thinking about medical treatments these days, how much of a problem, if at all, are the following? Side effects from prescription medicines create as many problems as the medicines solve","['A big problem', 'A small problem', 'Not a problem', 'Refused']"
MED2G_W34,"Thinking about medical treatments these days, how much of a problem, if at all, are the following? The process for evaluating the safety and effectiveness of new medical treatments is too slow","['A big problem', 'A small problem', 'Not a problem', 'Refused']"
MED3_W34,"How much, if anything, have you heard or read about gene editing that can be used to change a baby's genetic characteristics?","['A lot', 'A little', 'Nothing at all', 'Refused']"
MED4A_W34,Do you think changing a baby's genetic characteristics to make the baby more intelligent is an appropriate use of medical technology ?,"['An appropriate use of medical technology', 'Taking medical technology too far', 'Refused']"
MED4B_W34,Do you think changing a baby's genetic characteristics to treat a serious disease or condition the baby would have at birth is an appropriate use of medical technology ?,"['An appropriate use of medical technology', 'Taking medical technology too far', 'Refused']"
MED4C_W34,Do you think changing a baby's genetic characteristics to reduce the risk of a serious disease or condition that could occur over the course of his or her lifetime is an appropriate use of medical technology ?,"['An appropriate use of medical technology', 'Taking medical technology too far', 'Refused']"
MED5_W34,"Thinking about what you have heard or read, how well do you think medical researchers understand the health risks and benefits of changing a baby's genetic characteristics?","['Very well', 'Fairly well', 'Not too well', 'Not at all well', 'Refused']"
MED6A_W34,"How likely is the following if gene editing to change a baby's genetic characteristics becomes widely available? Even if gene editing is used appropriately in some cases, others will use these techniques in ways that are morally unacceptable","['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']"
MED6B_W34,How likely is the following if gene editing to change a baby's genetic characteristics becomes widely available? These techniques will help people live longer and better quality lives,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']"
MED6C_W34,How likely is the following if gene editing to change a baby's genetic characteristics becomes widely available? We will use these techniques before we fully understand how they affect people's health,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']"
MED6D_W34,How likely is the following if gene editing to change a baby's genetic characteristics becomes widely available? Inequality will increase because this option will be available only for the wealthy,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']"
MED6E_W34,How likely is the following if gene editing to change a baby's genetic characteristics becomes widely available? Development of these techniques will pave the way for new medical advances that benefit society as a whole,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']"
MED7_W34,"If gene editing to change a baby's genetic characteristics required testing on human embryos in order to develop these techniques, do you think this would be","['An appropriate use of medical technology', 'Taking medical technology too far', 'Refused']"
BIOTECHA_W34,Do you think genetic engineering of animals to increase their production of specific proteins that will lead to more nutritious meat would be,"['An appropriate use of technology', 'Taking technology too far', 'Refused']"
BIOTECHB_W34,Do you think bringing back an animal that is currently extinct by genetically engineering a closely-related species would be,"['An appropriate use of technology', 'Taking technology too far', 'Refused']"
BIOTECHC_W34,Do you think genetic engineering of mosquitoes that would prevent them from reproducing in order to prevent the spread of some mosquito-borne diseases would be,"['An appropriate use of technology', 'Taking technology too far', 'Refused']"
BIOTECHD_W34,Do you think genetic engineering of animals to grow organs or tissues that can be used for humans needing a transplant would be,"['An appropriate use of technology', 'Taking technology too far', 'Refused']"
BIOTECHE_W34,"Do you think genetic engineering of aquarium fish to change their appearance, causing them to glow would be","['An appropriate use of technology', 'Taking technology too far', 'Refused']"
EVOONE_W34,"Thinking about the development of human life on Earth which statement comes closer to your own views, even if neither is exactly right?","['Humans have evolved over time', 'Humans have existed in their present form since the beginning of time', 'Refused']"
EVOTWO_W34,"Even if you are not sure, which of these is closer to your views?","['Humans have evolved over time', 'Humans have existed in their present form since the beginning of time', 'Other view', 'Refused']"
EVOTHREE_W34,"Which of these statements comes closer to your own views, even if neither is exactly right?","['Humans have evolved over time due to processes such as natural selection; God or a higher power had no role in this proc', 'Humans have evolved over time due to processes that were guided or allowed by God or a higher power', 'Refused']"
EVOPERS3_W34,Thinking about the development of human life on Earth which statement comes closest to your view?,"['Humans have evolved over time due to processes such as natural selection; God or a higher power had no role in this proc', 'Humans have evolved over time due to processes that were guided or allowed by God or a higher power', 'Humans have existed in their present form since the beginning of time', 'Refused']"
EVOPERS3A_W34,"Even if you are not sure, which statement comes closest to your view?","['Humans have evolved over time due to processes such as natural selection; God or a higher power had no role in this proc', 'Humans have evolved over time due to processes that were guided or allowed by God or a higher power', 'Humans have existed in their present form since the beginning of time', 'Other view', 'Refused']"
EVOBIOA_W34,"From what you have heard or read, which of these statements about the development of human life on Earth comes closest to what most biological scientists say?","['Humans have evolved over time due to processes such as natural selection', 'Humans have existed in their present form since the beginning of time', 'Not sure', 'Refused']"
EVOBIOB_W34,"Even if you are not sure, from what you have heard or read, which of these statements about the development of human life on Earth comes closest to what most biological scientists say?","['Humans have evolved over time due to processes such as natural selection', 'Humans have existed in their present form since the beginning of time', 'Refused']"
BIO15_W34,"Have you seen a health care provider for an illness or medical condition in the past 12 months, or not?","['Yes', 'No', 'Refused']"
G1_W34,"Do you, or does anyone in your immediate family, have a gene that predisposes you to a serious disease such as Alzheimer's, cancer, heart disease or sickle cell anemia?","['Yes', 'No', 'Not sure', 'Refused']"
G2_W34,"Have you, or has anyone in your immediate family, ever had a genetic test, or haven't you done this?","['Yes', 'No', 'Not sure', 'Refused']"
