key,question,options
SAFECRIME_W26,"How safe, if at all, would you say your local community is from crime? Would you say it is","['Very safe', 'Somewhat safe', 'Not too safe', 'Not at all safe', 'Refused']"
WORLDDANGER_W26,"Compared to 50 years ago, do you think","['We live in a safer world', 'We live in a more dangerous world', 'The world we live in is neither safer nor more dangerous', 'Refused']"
WORRYA_W26,"How much, if at all, do you worry about the following happening to you? Having your home broken into","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYC_W26,"How much, if at all, do you worry about the following happening to you? Losing your job","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
WORRYG_W26,"How much, if at all, do you worry about the following happening to you? Having a personal health crisis","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']"
GUN_W26,"Do you personally own any guns (not including air guns, such as paintball, BB or pellet guns)?","['Yes, I own a gun', ""No, I don't own any guns"", 'Refused']"
GUN1_W26,"Does anyone else in your household own any guns (not including air guns, such as paintball, BB or pellet guns)?","['Yes, someone else in my household owns a gun', 'No, no one else in my household owns a gun', 'Refused']"
EVEROWN_W26,"Have you ever owned a gun at any point in your life, or have you never owned a gun?","['Yes, have owned a gun', 'No, have never owned a gun', 'Refused']"
NEVEROWN_W26,Which best describes you?,"['I could never see myself not owning a gun', 'I could see myself not owning a gun at some point in the future', 'Refused']"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']"
EVERSHOT_W26,"Regardless of whether or not you own a gun, have you ever fired a gun?","['Yes, I have fired a gun', 'No, I have never fired a gun', 'Refused']"
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
